0;MQ2;MQ7;MQ135;PH;TUR;TEMP;HUM
6:14:49,87;2751,41;907,86;273,62;4,23;11;26,3;24
6:14:52,34;2747,08;908,06;273,1;4,2;11;26,3;24
6:14:54,81;2746,72;908,2;273,03;4,23;11;26,3;24
6:14:57,27;2746,72;910,06;272,23;4,2;11;26,3;24
6:14:59,74;2738,8;910,54;271,69;4,2;3;26,3;24
6:15:02,20;2743,58;910,22;271,01;4,2;3;26,3;24
6:15:04,66;2745,96;909,4;269,92;4,2;2;26,3;24
6:15:07,13;2746,16;908,16;268,1;4,2;3;26,3;24
6:15:09,59;2745,77;908,12;266,94;4,2;9;26,2;24
6:15:12,05;2742,68;908,26;265,15;4,17;9;26,2;24
6:15:14,52;2743,56;908,88;264,06;4,2;9;26,2;24
6:15:16,98;2737,1;908,46;263,11;4,14;9;26,2;24
6:15:19,44;2736,6;910;265,89;4,14;8;26,2;24
6:15:21,91;2734,14;910,1;265,92;4,14;8;26,2;24
6:15:24,37;2727,72;910,26;265,08;4,11;8;26.2?;24
6:15:26,83;2728,26;910,12;264,69;4,11;8;26,2;24
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
